Firma,Name,Fullname,Inhaltsstoffe,Hautzustand,Anwendung,Kat.,Da?,Menge,Preis,Link
Acnemy,ZITCLEAN,ZITCLEAN Reinigungsgel,Aqua; Propanediol; Glycerin; Peg-6 Caprylic/Capric Glycerides; Sphingomonas Ferment Extract; 0.02% Salicylic Acid; 0.03 % Morinda Citrifolia Callus Culture Lysate; 0.15% Vitis Vinifera Fruit Extract; 0.05% Zingiber Officinale Root Extract; 0.05% Boswellia Serrata Resin Extract; 0.9% Potassium Azeloyl Diglycinate; Ceramide Np; Xanthan Gum; Carbomer; Sodium Cocoyl Glutamate; Hydrogenated Phosphatidylcholine; Phosphatidylcholine; Mannitol; Cholesterol; Decyl Glucoside; Potassium Cocoyl Rice Amino Acids,unreine Haut,täglich; abends,Cleanser,Ja,150 ml,9.95,https://nichebeautylab.com/de/products/zitclean
Acnemy,SPF 50,Zitcontrol SPF 50,Aqua; Ethylhexyl Methoxycinnamate; Diethylamino Hydroxybenzoyl Hexyl Benzoate; Ethylhexyl Salicylate; Silica; C12-15 Alkyl Benzoate; Glycerin; Caprylic/Capric Triglyceride; Propanediol; Undecane; Ethylhexyl Triazone; Niacinamide; Methylene BIS-Benzotriazolyl Tetramethylbutylphenol; Tridecane; Salicylic Acid; Zinc PCA; Morinda Citrifolia Callus Culture Lysate; Daucus Carota Sativa Root Cell Culture Lysate; Ceramide NP; Macadamia Ternifolia Seed Oil; Tocopherol; Cholesterol; Stearamine; Mannitol; Hydrogenated Phosphatidylcholine; Phosphatidylcholine; Dimyristoyl Phosphatidylcholine; Trihydroxystearin; Xanthan Gum; Acrylates/Beheneth-25 Methacrylate Copolymer; Propylene Glycol; Decyl Glucoside; BHT; Sodium Chloride; Citric Acid; Sodium Hydroxide; Sorbitan Oleate; Sodium Benzoate; Potassium Sorbate; CI 77491 (Iron Oxides); CI 77891,Sonnenschutz,morgens,Sonnenschutz,Nein,40 ml,18.95,https://nichebeautylab.com/de-de/products/zitcontrol-spf50
Avene,Stick SPF 50+,SunsiStick KA SPF 50+,Octyldodecanol; Polyethylene; Butylene Glycol Cocoate; Hydrogenated Microcystalline Wax; Bis-Ethylhexyhloxyphenol Methoxyphenyl Triazine; Diethylamino Hydroxybenzoyl Hexyl Benzonate; Diethylhexyl Butamido Triazone; Butyl Methoxydibenzoylmethane; Ethylhexyl Salicylate; Beeswax (Cera Alba); Hydrogenated Castor Oil; Water (Aqua); 1;2-Hexanediol; Aluminum Hydroxide; Butylene Glycol; Caprylic/Capric Triglyceride; Caprylyl Glycol; Cichorium Intybus (Chicory) Root Extract (Cichorium Intybus Root Extract); Disodium Stearoyl Glutamate; Methyl Methacrylate Crosspolymer; Oxothiazolidine; Saccharin; Sodium Benzoate; Titanium Dioxide (Ci 77891); Tocopheryl Glucoside,Sonnenschutz,morgens,Sonnenschutz,Nein,20 g,19.9,https://www.docmorris.de/avne-sunsistick-ka-spf-50/15743735?pp=GOOGLESHOP&from=2W829&gclid=Cj0KCQiAj4ecBhD3ARIsAM4Q_jESa3lgS47Mia6Hz3Oj_kwSu7PwKK0WglpDapxfUlHVDPwdP1I2-mUaArdGEALw_wcB
Avene,Fluid SPF 50+,Sonnenfluid SPF 50+,Avene Thermal Spring Water; C12-15 Alkyl Benzoate; Diethylamino Hydroxybenzoyl Hexyl Benzoate; Ethylhexyl Triazone; Oryza Sativa (Rice) Starch; Phenylene Bis-Diphenyltriazine; Aqua; Glycerin; Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine; Potassium Cetyl Phosphate; Glyceryl Stearate; Stearyl Alcohol; Tapioca Starch; Vp/Eicosene Copolymer; Benzoic Acid; Caprylic/Capric Triglyceride; Caprylyl Glycol; Glyceryl Behenate; Glyceryl Dibehenate; Ppg-1-Peg-9 Lauryl Glycol Ether; Red 33 (Ci 17200); Tocopheryl Glucoside; Tribehenin; Xanthan Gum,Sonnenschutz,morgens,Sonnenschutz,Nein,50 ml,23.9,https://www.douglas.de/de/p/m001048179?trac=de.01pms.goo.8788552640.18480668155.144815775791.000000&gbraid=0AAAAADy1nXnTLZGC04TrmmKiNA7ySnBgJ&gclid=Cj0KCQiAj4ecBhD3ARIsAM4Q_jHuR2tdtcB29SoCMFseRTsjvsggyPPEi6oDY0M1M86XXgXfLmAhJrcaAv6_EALw_wcB
Babydream MED,Gesichtscreme,Gesichtscreme,Aqua; Helianthus Annuus Seed Oil; Glycerin; Coco-Capylate/Caprate; Sorbitol; Stearyl Alcohol; Caprylic/Capric Triglyceride; Glyceryl Stearate; Citrate; Glyceryl Stearate; Betadine; Butyrospermum Parkii Butter; Squalane; Octyldodecanol; Oenothera Biennis Oil; Echium Planatgineum Seed Oil; Helianthus Annuus Seed Oil Unsaponifiables; Cardiospermum Halicacabum Flower/Leaf/Vine Extract; Caprylyl Glycol; Xanthan Gum; Citric Acid; Sodium Hydroxide; 1.2-Hexanediol; Hydroxyacetophenone; Tocopheryl Acetate; Tocopherol,Spannungsverlust; trockene Haut,täglich; morgens; Winter; reichhaltig,Creme,Ja,100 ml,3.99,https://www.rossmann.de/de/baby-und-spielzeug-babydream-med-gesichtscreme/p/4305615908984
Balea,Reinigungsöl,Reinigungsöl,Helianthus Annuus Hybrid Oil; Isopropyl Palmitate; Isopropyl Myristate; PEG-20 Glyceryl Triisostearate; Ethylhexyl Stearate; Tocopherol; Argania Spinosa Kernel Oil,trockene Haut,täglich; abends,Cleanser,Ja,100 ml,2.55,https://www.dm.de/balea-reinigungsoel-p4058172830549.html
Balea,Tagescreme,Beauty Expert Tagescreme,Aqua; Coco-Caprylate/Caprate; Glycerin; Caprylic/Capric Triglyceride; Octyldodecanol; Cetearyl Alcohol; 2% Panthenol; Behenyl Alcohol; Glyceryl Stearate Citrate; 1% Ectoin; 1% Squalane; Sclerotium Gum; Sorbitan Laurate; Acetyl Dipeptide-1 Cetyl Ester; Acetyl Hexapeptide-8 ; Palmitoyl Tripeptide-38; Hydroxyethylcellulose; Sodium Stearoyl Glutamate; Hydroxypropyl Cyclodextrin; Butylene Glycol; Citric Acid; Caprylyl Glycol; Ethylhexylglycerin; Phenoxyethanol,Mischhaut; trockene Haut; Hautbild,täglich; morgens,Creme,Ja,50 ml,5.95,https://www.dm.de/balea-beauty-expert-tagescreme-mit-3-prozent-peptid-solution-und-1-prozent-ectoin-p4066447190496.html
Balea,Aquaserum,Aqua Feuchtigkeitsserum,Aqua; Glycerin; Pentylene Glycol; Xylitylglucoside; Panthenol; Camellia Oleifera Seed Oil; Sodium Hyaluronate; Anhydroxylitol; Xylitol; Sodium Dilauramidoglutamide Lysine; Tocopheryl Acetate; Tocopherol; Acacia Senegal Gum; Sclerotium Gum; Xanthan Gum; Pantolactone; Citric Acid; Sodium Hydroxide; Ethylhexylglycerin; Phenoxyethanol; Parfum,Allrounder,täglich; morgens,Serum,Ja,30 ml,2.95,https://www.dm.de/balea-serum-Aqua-feuchtigkeit-p4058172681059.html?wt_mc=lia.google.PflegeParfum.Gesicht.SerumKur.Balea.4058172681059&storeId=DE-0100&hc_tid=10156470C4751PPC&gclid=EAIaIQobChMImMuunL_M-wIViAZ7Ch2awQKtEAQYASABEgKzX_D_BwE
Balea MED,Gesichtswasser,Gesichtswasser Ultra Sensitive,Aqua; Glycerin; Pentylene Glycol; Hydrogenated Starch Hydrolysate; Panthenol; Cucumis Sativus Fruit Extract; Sodium Carboxymethyl Betaglucan; Citric Acid,Allrounder; empfindliche Haut,täglich; morgens,Cleanser,Ja,200 ml,2.95,https://www.dm.de/balea-med-gesichtswasser-ultra-sensitive-p4058172879951.html?wt_mc=pla.google.PflegeParfum.Gesicht.Gesichtsreinigung.BaleaMED.4058172879951&hc_tid=10219970C4751PPC&gclid=EAIaIQobChMIkIzQlr_M-wIV5QWiAx33gAAvEAQYASABEgLqHfD_BwE
Catrice,Tagescreme,Tagescreme Hydro Protect Melting Moisturizer,Aqua; Isostearyl Isostearate; Dimethicone; Glycerin; Cetearyl Alcohol; Butylene Glycol; Coconut Alkanes; Methyl Glucose Sesquistearate; Dimethicone/Vinyl Dimethicone Crosspolymer; Sodium Hyaluronate; Erythritol; Ceramide Np; Hibiscus Sabdariffa Fruit Extract; Carbomer; Acrylates/C10-30 Alkyl Acrylate Crosspolymer; Coco-Caprylate/Caprate; Ethylhexylglycerin; Sodium Phytate; Alcohol; Sodium Hydroxide; Phenoxyethanol,Allrounder; trockene Haut,täglich; leicht,Creme,Nein,50 ml,5.95,https://www.dm.de/catrice-tagescreme-hydro-protect-melting-moist-p4059729377104.html
